                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.78744,                0.52168,                0.84699,                0.76756,                 0.7854,                0.77652,                0.54346,                0.71949,                0.53482,                0.86544,             0.00019813,             0.00019813,             0.00019813
                     87,                0.76509,                0.50999,                0.83587,                0.78659,                0.78508,                 0.7798,                0.54344,                0.73176,                0.53202,                0.86605,             0.00018575,             0.00018575,             0.00018575
                     88,                0.75514,                0.51181,                0.83909,                 0.8182,                0.78791,                0.78362,                0.54303,                0.70014,                0.52305,                 0.8643,             0.00017338,             0.00017338,             0.00017338
                     89,                0.77731,                0.51535,                0.85594,                0.81101,                0.78718,                0.77622,                 0.5441,                0.68952,                0.51566,                0.86476,               0.000161,               0.000161,               0.000161
                     90,                0.74399,                0.51245,                0.84172,                0.81919,                0.75983,                0.77342,                0.55227,                 0.6832,                0.51369,                0.86426,             0.00014862,             0.00014862,             0.00014862
                     91,                0.69602,                0.51742,                0.84128,                0.81204,                0.74722,                0.77211,                0.54135,                0.69472,                0.51815,                0.86577,             0.00013625,             0.00013625,             0.00013625
                     92,                0.71051,                0.52795,                0.84143,                0.82676,                0.74578,                 0.7729,                0.54246,                0.70273,                0.53255,                0.86643,             0.00012387,             0.00012387,             0.00012387
                     93,                0.70074,                0.50106,                0.84108,                0.84413,                0.76475,                0.77179,                0.54247,                0.69327,                0.52027,                0.86389,              0.0001115,              0.0001115,              0.0001115
                     94,                0.68159,                 0.4896,                0.83585,                0.82345,                0.76475,                0.77399,                0.54881,                0.69003,                0.51847,                0.86184,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.67487,                0.49148,                 0.8365,                0.82455,                0.76475,                0.77228,                0.54117,                0.68904,                0.51691,                0.86237,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.68591,                0.50029,                0.83854,                 0.8226,                0.76475,                0.76488,                0.53673,                0.68809,                0.51761,                0.86264,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.66557,                0.48249,                0.83692,                0.82739,                0.76475,                0.76176,                0.53266,                0.69019,                0.51868,                0.86267,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.66857,                0.48124,                0.83594,                0.82485,                0.76475,                0.76571,                0.53434,                0.68811,                0.52047,                 0.8628,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.65547,                0.47462,                0.83937,                0.82418,                0.76428,                0.76165,                 0.5329,                0.68623,                0.51929,                0.86269,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.66782,                0.47875,                0.84293,                 0.8069,                0.76475,                0.76186,                0.53486,                0.68343,                0.51829,                0.86166,             2.4875e-05,             2.4875e-05,             2.4875e-05
